"k","m","alpha_population","lambda_population","alpha_predicted","lambda_predicted"
3,31,0.3,0.3,0.378414904261749,0.316811483239389
3,31,0.3,0.5,0.265051347999542,0.45612315084145
3,31,0.3,1,0.316453832254683,0.851384075005488
3,31,0.3,1.5,0.592219662829945,2.56622968874002
3,31,0.3,2,0.273682103910687,1.91810878684519
3,31,0.5,0.3,0.610660643869869,0.311708053567236
3,31,0.5,0.5,0.518322314646503,0.58643607229169
3,31,0.5,1,0.566321131918812,1.00770508128917
3,31,0.5,1.5,0.507060362756238,1.5256412018467
3,31,0.5,2,0.939784594099308,2.52775564999321
3,31,1,0.3,0.848328148039581,0.249641096245614
3,31,1,0.5,2.0531349665474,0.616027943203607
3,31,1,1,1.74834041981958,1.16942453170195
3,31,1,1.5,0.736477823861538,1.31070389105548
3,31,1,2,0.812390088679968,1.98775570474973
3,31,1.5,0.3,0.984744832369191,0.259400894811375
3,31,1.5,0.5,1.02745192274989,0.480877042861913
3,31,1.5,1,0.993854605781598,0.914984622748306
3,31,1.5,1.5,1.33446123601171,1.47869463062379
3,31,1.5,2,2.59145786911267,2.33154054711158
3,31,2,0.3,1.60962347330678,0.286222517093847
3,31,2,0.5,2.427124144146,0.53268958940098
3,31,2,1,1.6844876844407,0.871761819080502
3,31,2,1.5,0.884356969359487,1.10140120016851
3,31,2,2,4.60987994619554,2.28249604528428
5,31,0.3,0.3,0.214896377056284,0.252279049766658
5,31,0.3,0.5,0.411330643789984,0.528459307385264
5,31,0.3,1,0.282842541608261,0.998849514118046
5,31,0.3,1.5,0.301661417631614,1.36268903217616
5,31,0.3,2,0.250023498557857,1.88477403219003
5,31,0.5,0.3,0.966659265406783,0.359868484856585
5,31,0.5,0.5,1.41323967136493,0.694376881560061
5,31,0.5,1,0.371185547072672,0.870233176683542
5,31,0.5,1.5,0.319267729566074,1.15991077909373
5,31,0.5,2,0.406998962070793,1.90767409414984
5,31,1,0.3,1.69154784567836,0.36073837169024
5,31,1,0.5,2.21873191783349,0.64090734312959
5,31,1,1,1.10187290422618,0.957349439710379
5,31,1,1.5,2.08419844241581,1.6015575478028
5,31,1,2,0.785362900479231,1.98897491337848
5,31,1.5,0.3,2.20352393509752,0.338194814168069
5,31,1.5,0.5,6.80717476488649,0.717424812313045
5,31,1.5,1,0.734845981263697,0.839038396104119
5,31,1.5,1.5,1.94598626643419,1.52503687441349
5,31,1.5,2,3.15778151724744,2.42880193142504
5,31,2,0.3,1.47885617454099,0.267270674794872
5,31,2,0.5,3.02890259308658,0.538206475219386
5,31,2,1,3.32659526265052,1.09829222866683
5,31,2,1.5,3.50189477880922,1.69352274757402
5,31,2,2,1.34027495790306,1.65576212627902
10,31,0.3,0.3,0.439371428823088,0.351272724167125
10,31,0.3,0.5,0.265626126137946,0.470801279787543
10,31,0.3,1,0.266925405187066,0.897291746619158
10,31,0.3,1.5,0.537978809312531,1.84546220337584
10,31,0.3,2,1.08806915742335,2.73017495180334
10,31,0.5,0.3,0.64828570409336,0.312619860620907
10,31,0.5,0.5,0.548637345496536,0.518271897405793
10,31,0.5,1,0.741435203225774,1.16938772709054
10,31,0.5,1.5,0.389048915030505,1.41386943441619
10,31,0.5,2,0.86024435177842,2.32800848452907
10,31,1,0.3,0.51269097037828,0.271494017043636
10,31,1,0.5,0.58757465335516,0.406322553808513
10,31,1,1,0.544380923259062,0.893211407364958
10,31,1,1.5,0.968322305055335,1.51715821037069
10,31,1,2,2.99543396672301,2.59814052191714
10,31,1.5,0.3,1.53148444081598,0.297772757877829
10,31,1.5,0.5,2.80039682286112,0.595656789552071
10,31,1.5,1,1.37631913607287,1.05091216770453
10,31,1.5,1.5,0.755733817575509,1.29325854989605
10,31,1.5,2,4.89774421270593,2.5461132101747
10,31,2,0.3,2.56404004975662,0.308575392133648
10,31,2,0.5,2.50136337069061,0.546610064812069
10,31,2,1,1.23294609032905,0.841229064280855
10,31,2,1.5,1.11960128303544,1.26880421802198
10,31,2,2,1.98665881655179,1.90219353614375
3,50,0.3,0.3,0.506604456584765,0.410634100746666
3,50,0.3,0.5,0.272232638616697,0.443420172698097
3,50,0.3,1,0.260073833423667,0.931991995533463
3,50,0.3,1.5,0.231060621440086,1.21724719385239
3,50,0.3,2,0.332070430391468,2.01937385845231
3,50,0.5,0.3,1.03895609843336,0.3955289765765
3,50,0.5,0.5,0.537969462759793,0.510779083892703
3,50,0.5,1,0.443918999670132,0.980610318680556
3,50,0.5,1.5,0.616602296230849,1.72864914653474
3,50,0.5,2,0.941349410625117,2.37137941503606
3,50,1,0.3,0.705712455098506,0.291484202736148
3,50,1,0.5,0.999462314986158,0.509464840660803
3,50,1,1,1.23734202551859,1.04745077078987
3,50,1,1.5,2.00643887624027,1.98842574202862
